airfoil,r_le,x_up_pt,z_up_pt,zxx_up_pt,x_lo_pt,z_lo_pt,zxx_lo_pt,z_te,dz_te,alpha_te,beta_te,alpha,Cl
Airfoil_21,0.0176014,0.51114,0.0329159,-1.63817,0.448791,-0.0854144,0.303643,0.0,0.0,-22.8539,-10.1816,6,0.54253388
Airfoil_21,0.0176014,0.51114,0.0329159,-1.63817,0.448791,-0.0854144,0.303643,0.0,0.0,-22.8539,-10.1816,12,0.5234154
Airfoil_21,0.0176014,0.51114,0.0329159,-1.63817,0.448791,-0.0854144,0.303643,0.0,0.0,-22.8539,-10.1816,14,0.53913858
Airfoil_21,0.0176014,0.51114,0.0329159,-1.63817,0.448791,-0.0854144,0.303643,0.0,0.0,-22.8539,-10.1816,16,0.57035084
Airfoil_22,0.0120671,0.437051,0.117244,-0.958571,0.414919,-0.0763896,-0.343777,0.0,0.0,4.86846,-8.21331,0,0.05201139
Airfoil_22,0.0120671,0.437051,0.117244,-0.958571,0.414919,-0.0763896,-0.343777,0.0,0.0,4.86846,-8.21331,6,0.50256309
Airfoil_22,0.0120671,0.437051,0.117244,-0.958571,0.414919,-0.0763896,-0.343777,0.0,0.0,4.86846,-8.21331,12,0.91066355
Airfoil_22,0.0120671,0.437051,0.117244,-0.958571,0.414919,-0.0763896,-0.343777,0.0,0.0,4.86846,-8.21331,14,1.02839797
Airfoil_22,0.0120671,0.437051,0.117244,-0.958571,0.414919,-0.0763896,-0.343777,0.0,0.0,4.86846,-8.21331,16,1.10538257
Airfoil_23,0.00895973,0.429361,0.095047,-1.20865,0.408979,-0.0510965,-1.79043,0.0,0.0,-8.9135,-12.0359,0,0.14769905
Airfoil_23,0.00895973,0.429361,0.095047,-1.20865,0.408979,-0.0510965,-1.79043,0.0,0.0,-8.9135,-12.0359,6,0.54997166
Airfoil_23,0.00895973,0.429361,0.095047,-1.20865,0.408979,-0.0510965,-1.79043,0.0,0.0,-8.9135,-12.0359,12,1.01562262
Airfoil_23,0.00895973,0.429361,0.095047,-1.20865,0.408979,-0.0510965,-1.79043,0.0,0.0,-8.9135,-12.0359,14,0.00340676
Airfoil_23,0.00895973,0.429361,0.095047,-1.20865,0.408979,-0.0510965,-1.79043,0.0,0.0,-8.9135,-12.0359,16,0.7680836
Airfoil_24,0.0247545,0.453453,0.0951997,-1.90717,0.409995,-0.116085,-0.550672,0.0,0.0,14.5357,-11.895,0,-0.25079175
Airfoil_24,0.0247545,0.453453,0.0951997,-1.90717,0.409995,-0.116085,-0.550672,0.0,0.0,14.5357,-11.895,6,0.30140718
Airfoil_24,0.0247545,0.453453,0.0951997,-1.90717,0.409995,-0.116085,-0.550672,0.0,0.0,14.5357,-11.895,12,0.29114652
Airfoil_24,0.0247545,0.453453,0.0951997,-1.90717,0.409995,-0.116085,-0.550672,0.0,0.0,14.5357,-11.895,14,0.43276043
Airfoil_24,0.0247545,0.453453,0.0951997,-1.90717,0.409995,-0.116085,-0.550672,0.0,0.0,14.5357,-11.895,16,0.28841288
Airfoil_25,0.0198234,0.374072,0.0882572,-1.62662,0.360712,-0.00229883,-1.4277,0.0,0.0,-4.30946,-10.7493,0,0.07697064
Airfoil_25,0.0198234,0.374072,0.0882572,-1.62662,0.360712,-0.00229883,-1.4277,0.0,0.0,-4.30946,-10.7493,6,0.73639772
Airfoil_25,0.0198234,0.374072,0.0882572,-1.62662,0.360712,-0.00229883,-1.4277,0.0,0.0,-4.30946,-10.7493,12,1.30666514
